customer_id,order_count,total_spent,avg_check,max_order_amount,unique_products,unique_categories,days_since_first_order,delivery_morning,delivery_day,delivery_evening
29,15,93506.07,6233.7380000000000000,11485.66,15,6,687,0,0,1
30,21,146277.45,6965.5928571428571429,12741.11,21,6,629,0,1,0
31,15,82166.91,5477.7940000000000000,8257.17,15,5,585,0,1,0
32,3,32209.89,10736.6300000000000000,10736.63,3,3,87,1,0,0
33,15,131427.72,8761.8480000000000000,16427.17,15,6,668,0,1,0
34,18,139823.37,7767.9650000000000000,12701.43,18,5,708,0,1,0
35,6,39987.57,6664.5950000000000000,8287.20,6,3,539,1,0,0
36,15,76822.47,5121.4980000000000000,10680.57,15,6,727,0,1,0
37,12,72997.95,6083.1625000000000000,9585.89,12,6,720,1,0,0
38,9,52905.99,5878.4433333333333333,9838.61,9,5,621,0,1,0
39,15,121369.86,8091.3240000000000000,12578.72,15,5,624,0,0,1
40,12,126926.13,10577.1775000000000000,14347.04,12,6,660,1,0,0
41,30,212905.35,7096.8450000000000000,10528.91,30,6,698,0,0,1
42,9,79984.32,8887.1466666666666667,11496.34,9,6,660,0,0,1
43,12,110807.67,9233.9725000000000000,11884.93,12,5,683,1,0,0
44,15,86795.52,5786.3680000000000000,7796.63,15,6,618,1,0,0
45,21,144425.19,6877.3900000000000000,14177.06,21,6,721,1,0,0
46,21,121149.60,5769.0285714285714286,8325.60,21,6,713,0,0,1
47,6,59309.07,9884.8450000000000000,15196.58,6,3,408,1,0,0
48,12,97414.38,8117.8650000000000000,14495.03,11,5,719,0,0,1
49,3,22149.36,7383.1200000000000000,7383.12,3,3,269,0,1,0
50,24,176807.61,7366.9837500000000000,10911.49,24,6,716,0,1,0
51,6,18437.79,3072.9650000000000000,4399.20,6,5,721,1,0,0
52,12,103136.49,8594.7075000000000000,12305.31,12,5,652,1,0,0
53,15,102793.65,6852.9100000000000000,11800.98,15,5,594,1,0,0
54,33,241901.07,7330.3354545454545455,15492.73,33,6,674,0,1,0
55,0,0,0,0,0,0,,1,0,0
56,15,122447.79,8163.1860000000000000,19525.35,15,5,688,0,0,1
57,15,87012.78,5800.8520000000000000,9785.59,15,5,599,0,0,1
58,9,61360.77,6817.8633333333333333,8359.92,9,4,569,0,1,0
59,3,23234.13,7744.7100000000000000,7744.71,3,2,530,0,0,1
60,24,159753.21,6656.3837500000000000,9805.21,24,6,456,0,1,0
61,9,73967.58,8218.6200000000000000,9346.41,8,6,517,1,0,0
62,9,42016.02,4668.4466666666666667,5755.05,9,4,640,1,0,0
63,24,114117.66,4754.9025000000000000,7298.19,24,5,679,1,0,0
64,18,150282.66,8349.0366666666666667,12440.68,18,6,632,0,1,0
65,15,92498.61,6166.5740000000000000,7452.53,15,6,709,1,0,0
66,21,157774.62,7513.0771428571428571,12016.08,21,5,614,0,1,0
67,15,106742.13,7116.1420000000000000,12591.19,15,5,527,0,0,1
68,12,82693.86,6891.1550000000000000,12842.66,12,6,632,1,0,0
69,24,136359.33,5681.6387500000000000,10970.78,24,6,583,0,0,1
70,6,70040.70,11673.450000000000,14888.89,6,4,430,0,1,0
71,15,138068.43,9204.5620000000000000,11597.64,15,6,600,1,0,0
72,18,94451.70,5247.3166666666666667,7352.94,17,6,609,0,0,1
73,9,65778.24,7308.6933333333333333,8666.11,9,5,274,0,1,0
74,9,63886.32,7098.4800000000000000,14491.81,9,6,610,0,0,1
75,9,77248.23,8583.1366666666666667,12231.94,9,4,236,0,1,0
76,15,74931.60,4995.4400000000000000,11433.34,15,6,497,1,0,0
77,9,57974.46,6441.6066666666666667,8102.82,9,5,597,0,1,0
78,15,140838.48,9389.2320000000000000,16591.05,15,5,671,1,0,0
79,15,89649.60,5976.6400000000000000,10986.14,15,6,698,0,1,0
80,18,153477.33,8526.5183333333333333,16105.87,18,5,615,1,0,0
81,15,92077.14,6138.4760000000000000,9253.72,15,6,657,0,1,0
82,15,108102.18,7206.8120000000000000,10762.53,15,6,593,0,0,1
83,12,61922.67,5160.2225000000000000,7408.52,12,5,283,1,0,0
84,18,111897.54,6216.5300000000000000,8556.94,18,6,712,1,0,0
85,12,80863.62,6738.6350000000000000,13561.23,12,6,661,0,1,0
86,18,148250.16,8236.1200000000000000,13632.69,18,6,640,0,1,0
87,24,172955.73,7206.4887500000000000,13610.97,24,6,667,1,0,0
88,12,63827.85,5318.9875000000000000,8457.52,12,5,549,0,1,0
89,18,126807.75,7044.8750000000000000,12825.09,18,6,695,1,0,0
90,12,93340.92,7778.4100000000000000,11489.82,11,5,619,0,1,0
91,9,59027.04,6558.5600000000000000,9599.64,9,5,486,1,0,0
92,12,73006.92,6083.9100000000000000,7642.46,12,6,601,0,0,1
93,6,59310.09,9885.0150000000000000,14477.54,6,3,483,1,0,0
94,9,71781.57,7975.7300000000000000,11667.06,9,4,599,0,1,0
95,12,96407.22,8033.9350000000000000,10830.72,12,4,695,0,0,1
96,12,131113.20,10926.100000000000,15801.67,12,5,731,0,1,0
97,15,89723.73,5981.5820000000000000,8533.61,15,5,721,1,0,0
98,15,106429.35,7095.2900000000000000,12853.00,15,5,651,0,1,0
99,6,55763.04,9293.8400000000000000,9550.16,6,4,549,0,0,1
100,6,31535.07,5255.8450000000000000,5259.32,6,4,640,0,1,0
101,15,76889.16,5125.9440000000000000,7957.30,15,6,715,0,1,0
102,27,150801.24,5585.2311111111111111,13686.53,25,6,724,0,1,0
103,15,61148.10,4076.5400000000000000,8979.58,15,5,714,0,1,0
104,12,93956.43,7829.7025000000000000,9174.20,12,5,602,0,1,0
105,9,41067.33,4563.0366666666666667,5442.22,8,5,324,0,0,1
106,15,115089.24,7672.6160000000000000,15777.62,15,6,711,0,1,0
107,12,66659.97,5554.9975000000000000,8544.11,12,6,594,1,0,0
108,21,142259.31,6774.2528571428571429,9570.12,20,6,594,0,0,1
109,3,24766.80,8255.6000000000000000,8255.60,3,3,221,0,0,1
110,9,51888.12,5765.3466666666666667,8999.63,9,5,394,0,1,0
111,9,76320.06,8480.0066666666666667,11498.77,9,5,606,0,0,1
112,12,79492.83,6624.4025000000000000,9185.20,12,5,631,1,0,0
113,15,116858.10,7790.5400000000000000,10757.69,15,6,682,0,0,1
114,15,120138.00,8009.2000000000000000,13062.23,15,5,393,0,0,1
115,21,167480.43,7975.2585714285714286,9677.96,21,6,707,0,0,1
116,9,50668.65,5629.8500000000000000,9044.31,9,6,639,1,0,0
117,15,95029.56,6335.3040000000000000,9964.02,15,6,708,1,0,0
118,6,39095.82,6515.9700000000000000,6708.07,6,4,642,0,0,1
119,6,41751.27,6958.5450000000000000,7817.90,6,4,495,0,0,1
120,12,84210.90,7017.5750000000000000,12608.31,12,6,713,0,0,1
121,9,107251.47,11916.830000000000,17270.25,9,5,672,0,1,0
122,15,81895.26,5459.6840000000000000,7866.78,15,5,580,1,0,0
123,6,47639.52,7939.9200000000000000,9554.62,6,5,647,1,0,0
124,12,132024.06,11002.005000000000,16366.88,12,6,98,0,1,0
125,12,84482.01,7040.1675000000000000,9532.41,12,6,428,0,1,0
126,9,57002.70,6333.6333333333333333,9219.06,9,6,708,0,0,1
127,30,211421.37,7047.3790000000000000,12205.70,28,6,709,0,1,0
128,18,122775.12,6820.8400000000000000,9485.13,17,6,672,0,1,0
129,27,159870.15,5921.1166666666666667,14638.45,27,6,711,0,0,1
130,12,79867.77,6655.6475000000000000,9651.68,11,4,574,0,0,1
131,18,97989.30,5443.8500000000000000,8866.79,17,5,354,0,0,1
132,9,23467.59,2607.5100000000000000,3172.15,9,3,448,0,1,0
133,6,59876.91,9979.4850000000000000,12737.66,6,4,537,1,0,0
134,18,158012.13,8778.4516666666666667,10417.47,16,6,557,0,0,1
135,6,51665.76,8610.9600000000000000,9479.14,6,5,362,1,0,0
136,15,121132.38,8075.4920000000000000,14176.35,15,6,528,0,0,1
137,21,139034.85,6620.7071428571428571,11014.60,20,6,728,0,1,0
138,18,129458.19,7192.1216666666666667,14183.18,18,6,620,1,0,0
139,21,151210.65,7200.5071428571428571,9461.51,21,6,614,1,0,0
140,15,129686.10,8645.7400000000000000,12738.47,15,4,423,0,0,1
141,15,94097.88,6273.1920000000000000,9109.99,15,6,717,1,0,0
142,3,13441.56,4480.5200000000000000,4480.52,3,2,459,1,0,0
143,18,124514.40,6917.4666666666666667,15177.22,18,5,701,0,1,0
144,3,26551.26,8850.4200000000000000,8850.42,3,2,553,1,0,0
145,15,109675.71,7311.7140000000000000,13665.84,15,5,565,0,1,0
146,15,136345.44,9089.6960000000000000,13407.42,15,6,594,0,1,0
147,24,184784.85,7699.3687500000000000,13946.20,23,6,717,1,0,0
148,12,55868.91,4655.7425000000000000,6405.55,12,5,669,1,0,0
149,15,127671.81,8511.4540000000000000,14381.44,15,5,653,0,0,1
150,27,251672.67,9321.2100000000000000,18109.38,27,6,517,0,0,1
151,12,91259.16,7604.9300000000000000,9482.83,12,5,712,0,0,1
152,12,84337.02,7028.0850000000000000,9485.50,11,6,625,1,0,0
153,33,252707.97,7657.8172727272727273,11955.66,32,6,674,1,0,0
154,21,112021.20,5334.3428571428571429,9913.99,21,5,538,0,1,0
155,9,56441.13,6271.2366666666666667,7573.00,9,5,725,1,0,0
156,24,142597.38,5941.5575000000000000,7954.62,24,6,722,1,0,0
157,18,124914.15,6939.6750000000000000,11736.07,17,6,662,0,0,1
158,21,183371.37,8731.9700000000000000,14962.02,21,6,695,0,0,1
159,6,56957.49,9492.9150000000000000,10014.18,6,3,546,0,1,0
160,21,131825.04,6277.3828571428571429,12803.68,21,6,635,1,0,0
161,9,54981.75,6109.0833333333333333,7424.28,9,5,514,0,0,1
162,18,109945.14,6108.0633333333333333,9214.89,17,6,691,0,1,0
163,9,43446.00,4827.3333333333333333,5939.55,9,5,342,1,0,0
164,12,83597.10,6966.4250000000000000,9628.49,12,6,559,0,0,1
165,21,156476.37,7451.2557142857142857,13921.41,21,6,465,0,1,0
166,9,65460.36,7273.3733333333333333,8263.67,9,5,502,1,0,0
167,18,177262.65,9847.9250000000000000,15246.01,18,5,688,0,0,1
168,15,98643.18,6576.2120000000000000,9046.65,15,6,509,0,1,0
169,12,58129.65,4844.1375000000000000,6250.49,12,5,620,0,1,0
170,21,138758.13,6607.5300000000000000,9623.24,21,6,724,0,0,1
171,9,60805.47,6756.1633333333333333,9199.05,9,3,651,1,0,0
172,12,92759.97,7729.9975000000000000,12641.18,12,6,707,0,0,1
173,15,92298.96,6153.2640000000000000,8986.54,13,6,708,1,0,0
174,15,78245.28,5216.3520000000000000,9394.11,13,5,646,0,1,0
175,9,56249.73,6249.9700000000000000,8150.70,9,5,693,1,0,0
176,12,65118.21,5426.5175000000000000,7052.45,12,6,626,1,0,0
177,30,222681.18,7422.7060000000000000,14257.20,29,6,697,1,0,0
178,21,108443.85,5163.9928571428571429,8035.01,21,6,671,0,1,0
179,18,136409.58,7578.3100000000000000,13169.47,18,5,651,1,0,0
180,18,189070.92,10503.9400000000000000,15632.06,18,6,526,0,1,0
181,9,80014.59,8890.5100000000000000,11028.30,9,6,453,0,1,0
182,6,34483.38,5747.2300000000000000,8639.23,6,3,390,0,1,0
183,9,52015.83,5779.5366666666666667,11287.88,9,4,561,0,1,0
184,12,75330.75,6277.5625000000000000,10374.65,11,4,582,0,1,0
185,6,49331.13,8221.8550000000000000,8346.08,6,5,557,1,0,0
186,12,73559.37,6129.9475000000000000,8045.74,12,5,600,0,1,0
187,21,113797.14,5418.9114285714285714,6793.16,21,5,722,1,0,0
188,21,117768.72,5608.0342857142857143,7850.26,20,6,651,0,1,0
189,15,92390.16,6159.3440000000000000,10940.33,15,5,516,1,0,0
190,9,66636.78,7404.0866666666666667,12628.54,9,6,728,1,0,0
191,9,77942.46,8660.2733333333333333,11171.04,9,4,611,0,1,0
192,24,149677.92,6236.5800000000000000,8519.04,24,6,610,0,0,1
193,12,85270.77,7105.8975000000000000,13280.28,11,6,330,1,0,0
194,12,60413.25,5034.4375000000000000,10306.98,12,6,719,0,0,1
195,21,109834.68,5230.2228571428571429,7816.15,19,6,538,0,0,1
196,12,100317.15,8359.7625000000000000,11475.51,12,5,670,0,0,1
197,21,156271.23,7441.4871428571428571,11387.59,21,6,718,1,0,0
198,12,57323.88,4776.9900000000000000,7415.41,12,6,561,0,0,1
199,9,68268.90,7585.4333333333333333,9914.24,9,3,329,1,0,0
200,15,108525.36,7235.0240000000000000,11843.44,15,6,391,0,0,1
201,12,85868.01,7155.6675000000000000,9559.72,12,6,674,1,0,0
202,18,134604.51,7478.0283333333333333,11392.02,18,5,700,1,0,0
203,18,133540.50,7418.9166666666666667,11595.63,18,6,653,1,0,0
204,9,61237.14,6804.1266666666666667,9861.74,9,5,363,0,0,1
205,21,160331.40,7634.8285714285714286,12137.79,20,6,696,1,0,0
206,12,81885.39,6823.7825000000000000,8458.87,12,5,433,0,0,1
207,18,161370.72,8965.0400000000000000,11991.34,18,6,540,1,0,0
208,24,148636.47,6193.1862500000000000,11818.54,24,6,560,0,1,0
209,15,121954.62,8130.3080000000000000,10045.23,15,6,659,0,0,1
210,12,43970.61,3664.2175000000000000,8390.74,12,5,461,1,0,0
211,12,82831.98,6902.6650000000000000,14198.36,12,5,568,0,0,1
212,9,42693.24,4743.6933333333333333,6398.64,9,6,223,0,0,1
213,12,101886.66,8490.5550000000000000,14119.65,12,5,517,0,0,1
214,15,108961.53,7264.1020000000000000,10426.88,15,5,645,1,0,0
215,12,77435.70,6452.9750000000000000,11017.03,12,5,552,1,0,0
216,24,130718.40,5446.6000000000000000,11173.13,23,6,600,0,1,0
217,6,27052.41,4508.7350000000000000,5318.21,6,2,638,1,0,0
218,18,117409.50,6522.7500000000000000,9327.10,17,6,652,1,0,0
219,27,216500.61,8018.5411111111111111,18533.20,26,6,608,0,1,0
220,18,107774.25,5987.4583333333333333,9400.67,18,6,730,0,0,1
221,24,151163.37,6298.4737500000000000,15339.34,24,6,671,0,1,0
222,18,119335.62,6629.7566666666666667,8948.64,18,6,644,0,1,0
223,12,98367.48,8197.2900000000000000,14534.55,12,5,680,0,0,1
224,15,93223.62,6214.9080000000000000,14022.92,15,5,657,1,0,0
225,0,0,0,0,0,0,,0,1,0
226,18,131432.94,7301.8300000000000000,11905.98,18,6,700,1,0,0
227,15,96112.95,6407.5300000000000000,7594.23,15,6,597,1,0,0
228,15,76263.75,5084.2500000000000000,9728.78,15,6,495,0,1,0
229,6,33504.48,5584.0800000000000000,6855.46,6,4,574,0,0,1
230,3,7767.87,2589.2900000000000000,2589.29,3,3,715,0,1,0
231,21,161798.13,7704.6728571428571429,11255.48,21,6,684,1,0,0
232,15,150329.01,10021.9340000000000000,12484.51,15,6,581,0,1,0
233,21,153890.88,7328.1371428571428571,11498.38,21,6,682,0,0,1
234,9,52775.01,5863.8900000000000000,7547.62,8,5,256,1,0,0
235,12,63276.99,5273.0825000000000000,8102.61,12,5,414,0,1,0
236,9,72250.44,8027.8266666666666667,8544.76,9,6,595,0,0,1
237,24,179856.60,7494.0250000000000000,11971.01,22,5,710,1,0,0
238,21,156165.15,7436.4357142857142857,12751.42,20,6,687,0,1,0
239,15,114003.66,7600.2440000000000000,12365.74,15,6,727,0,0,1
240,18,108878.25,6048.7916666666666667,8053.26,18,6,705,0,0,1
241,15,141947.70,9463.1800000000000000,11737.97,15,6,607,0,1,0
242,18,121292.46,6738.4700000000000000,10602.63,18,6,728,1,0,0
243,15,101418.51,6761.2340000000000000,12212.14,15,6,715,0,0,1
244,21,97242.75,4630.6071428571428571,11329.96,21,6,667,0,1,0
245,24,185248.05,7718.6687500000000000,11737.94,24,5,694,1,0,0
246,9,62714.70,6968.3000000000000000,10353.94,8,5,213,0,0,1
247,9,50433.39,5603.7100000000000000,9465.48,9,5,638,0,0,1
248,12,94209.27,7850.7725000000000000,10451.45,12,5,611,0,0,1
249,27,212041.17,7853.3766666666666667,13626.81,26,6,605,1,0,0
250,9,66425.82,7380.6466666666666667,12074.87,9,4,701,0,1,0
251,18,149245.50,8291.4166666666666667,13892.18,18,6,659,0,1,0
252,12,110146.50,9178.8750000000000000,12451.42,12,6,481,0,0,1
253,18,101499.51,5638.8616666666666667,10796.18,18,6,652,1,0,0
254,6,33443.22,5573.8700000000000000,7613.10,6,5,501,1,0,0
255,15,133207.08,8880.4720000000000000,12478.62,15,5,474,1,0,0
256,15,80055.87,5337.0580000000000000,7176.13,15,6,652,0,1,0
257,9,74551.68,8283.5200000000000000,10344.02,9,5,726,1,0,0
258,24,213972.36,8915.5150000000000000,14271.67,22,6,703,0,1,0
259,24,156946.41,6539.4337500000000000,9917.41,24,6,690,0,1,0
260,15,99815.07,6654.3380000000000000,11342.22,15,6,558,0,0,1
261,12,102885.93,8573.8275000000000000,10507.58,12,6,519,0,1,0
262,9,36490.08,4054.4533333333333333,5468.82,9,6,601,0,1,0
263,24,142842.93,5951.7887500000000000,10554.04,24,5,712,0,1,0
264,30,168353.82,5611.7940000000000000,10651.12,27,6,461,0,1,0
265,36,290703.42,8075.0950000000000000,14558.43,35,6,566,0,0,1
266,24,157174.23,6548.9262500000000000,11918.40,24,6,654,0,1,0
267,15,99383.94,6625.5960000000000000,8651.95,14,6,709,1,0,0
268,9,71762.70,7973.6333333333333333,11549.60,9,5,606,1,0,0
269,21,130472.46,6212.9742857142857143,9937.15,21,6,644,0,0,1
270,15,83561.85,5570.7900000000000000,11442.57,15,6,689,0,0,1
271,30,174254.55,5808.4850000000000000,9265.32,28,6,641,0,0,1
272,30,215391.69,7179.7230000000000000,11491.11,30,6,633,0,1,0
273,21,177727.74,8463.2257142857142857,12620.41,21,6,675,0,1,0
274,21,122805.18,5847.8657142857142857,10495.23,20,6,599,0,0,1
275,6,30722.13,5120.3550000000000000,5604.81,6,4,535,0,0,1
276,6,47340.51,7890.0850000000000000,9805.35,6,4,350,1,0,0
277,21,155751.15,7416.7214285714285714,12714.56,19,5,714,0,1,0
278,12,91453.53,7621.1275000000000000,8688.42,12,5,731,0,0,1
279,12,64512.60,5376.0500000000000000,10859.28,11,5,678,0,1,0
280,24,172551.93,7189.6637500000000000,9623.76,24,6,601,0,1,0
281,15,115285.77,7685.7180000000000000,11811.95,15,6,685,0,1,0
282,33,196918.44,5967.2254545454545455,10789.36,32,6,660,1,0,0
283,21,170624.34,8124.9685714285714286,15822.10,20,6,696,0,0,1
284,9,61732.89,6859.2100000000000000,8029.77,9,6,570,0,0,1
285,9,58240.56,6471.1733333333333333,11971.03,9,4,688,1,0,0
286,12,57258.21,4771.5175000000000000,7205.26,12,6,467,0,0,1
287,6,38534.04,6422.3400000000000000,9011.69,6,2,591,0,1,0
288,9,39881.58,4431.2866666666666667,6394.72,9,3,633,0,0,1
289,12,56932.62,4744.3850000000000000,6028.97,12,6,563,0,0,1
290,24,126341.64,5264.2350000000000000,11542.64,23,6,720,0,1,0
291,18,128216.52,7123.1400000000000000,9717.00,18,5,481,0,1,0
292,6,31154.49,5192.4150000000000000,8787.10,6,5,166,0,0,1
293,9,78110.34,8678.9266666666666667,10663.47,9,4,347,0,1,0
294,21,127497.45,6071.3071428571428571,10016.86,21,6,666,0,1,0
295,9,58969.92,6552.2133333333333333,9019.83,9,5,714,0,0,1
296,12,86969.88,7247.4900000000000000,10299.53,12,5,452,0,0,1
297,12,84714.75,7059.5625000000000000,11079.89,11,6,678,1,0,0
298,9,39531.72,4392.4133333333333333,6439.42,9,6,578,1,0,0
299,15,83312.16,5554.1440000000000000,6882.16,15,5,719,0,0,1
300,12,72480.03,6040.0025000000000000,7932.89,12,5,665,0,1,0
301,12,48820.95,4068.4125000000000000,5676.58,12,5,530,0,0,1
302,15,56721.51,3781.4340000000000000,4834.22,15,6,683,1,0,0
303,12,104332.14,8694.3450000000000000,10614.86,12,5,729,1,0,0
304,9,46571.40,5174.6000000000000000,9893.70,9,5,659,0,0,1
305,24,172851.12,7202.1300000000000000,11251.81,24,6,667,0,0,1
306,6,9023.70,1503.9500000000000000,1972.31,6,5,214,0,1,0
307,21,161637.33,7697.0157142857142857,16387.85,21,6,712,0,0,1
308,9,49840.92,5537.8800000000000000,7686.81,9,4,484,0,1,0
309,9,80097.69,8899.7433333333333333,9352.98,9,6,562,0,1,0
310,27,180164.88,6672.7733333333333333,12795.92,26,6,472,1,0,0
311,9,83061.66,9229.0733333333333333,13588.61,9,5,571,1,0,0
312,9,88358.01,9817.5566666666666667,13471.83,9,5,651,1,0,0
313,6,42139.38,7023.2300000000000000,8617.55,6,4,646,0,1,0
314,24,201655.56,8402.3150000000000000,11292.24,24,6,725,0,1,0
315,18,130927.41,7273.7450000000000000,8714.42,18,5,592,1,0,0
316,24,142911.90,5954.6625000000000000,8992.16,24,6,629,1,0,0
317,15,85827.87,5721.8580000000000000,7501.91,15,5,647,1,0,0
318,12,78930.78,6577.5650000000000000,9486.87,12,6,498,0,0,1
319,6,36635.40,6105.9000000000000000,6264.10,6,3,309,0,0,1
320,21,164197.89,7818.9471428571428571,10755.74,21,6,588,1,0,0
321,12,117226.29,9768.8575000000000000,13130.11,11,5,667,0,0,1
322,9,24090.87,2676.7633333333333333,3671.98,8,5,664,0,0,1
323,18,137359.20,7631.0666666666666667,12523.55,18,6,593,1,0,0
324,9,61899.06,6877.6733333333333333,9956.74,9,5,499,1,0,0
325,18,134015.07,7445.2816666666666667,12567.53,18,6,507,0,1,0
326,9,64366.95,7151.8833333333333333,11420.00,9,6,730,1,0,0
327,9,71598.93,7955.4366666666666667,9876.19,9,4,483,0,1,0
328,6,91427.22,15237.870000000000,18853.66,6,3,474,0,1,0
329,21,178539.60,8501.8857142857142857,18816.75,20,6,622,0,0,1
330,24,125929.11,5247.0462500000000000,11644.45,21,6,726,0,0,1
331,15,142945.62,9529.7080000000000000,13720.82,14,6,731,0,1,0
332,12,62971.47,5247.6225000000000000,11024.01,12,6,718,1,0,0
333,15,122721.12,8181.4080000000000000,11018.13,15,6,637,0,0,1
334,18,104408.97,5800.4983333333333333,8962.01,17,5,698,0,0,1
335,12,47560.95,3963.4125000000000000,5361.40,12,5,710,0,1,0
336,21,171160.50,8150.5000000000000000,15090.64,21,6,722,1,0,0
337,21,126901.44,6042.9257142857142857,8718.42,20,6,493,0,1,0
338,18,149595.48,8310.8600000000000000,13315.75,18,5,583,0,1,0
339,15,101924.52,6794.9680000000000000,12754.51,15,6,633,0,1,0
340,15,131200.11,8746.6740000000000000,11768.67,15,5,691,1,0,0
341,24,154472.31,6436.3462500000000000,10525.01,24,6,711,1,0,0
342,36,299327.25,8314.6458333333333333,13880.74,35,6,519,1,0,0
343,18,134334.45,7463.0250000000000000,11275.73,17,6,731,1,0,0
344,18,133763.94,7431.3300000000000000,12290.34,18,6,594,0,0,1
345,6,42377.10,7062.8500000000000000,11817.16,6,3,713,0,0,1
346,3,17376.66,5792.2200000000000000,5792.22,3,3,318,0,0,1
347,9,89038.35,9893.1500000000000000,16233.97,9,6,611,1,0,0
348,9,89789.91,9976.6566666666666667,10781.97,9,5,637,1,0,0
349,24,197658.54,8235.7725000000000000,14334.38,23,6,420,0,1,0
350,21,191083.80,9099.2285714285714286,12481.27,21,6,671,1,0,0
351,30,220380.57,7346.0190000000000000,11072.69,30,6,648,0,0,1
352,9,57117.42,6346.3800000000000000,9002.26,9,5,685,1,0,0
353,15,68058.24,4537.2160000000000000,5974.81,15,6,434,0,0,1
354,9,63177.93,7019.7700000000000000,12875.68,9,5,664,0,1,0
355,12,67718.07,5643.1725000000000000,13652.72,11,4,415,1,0,0
356,18,126798.39,7044.3550000000000000,8371.31,18,6,672,1,0,0
357,18,122404.77,6800.2650000000000000,12166.78,18,6,720,0,0,1
358,18,113344.32,6296.9066666666666667,11413.25,18,6,731,0,1,0
359,12,89575.53,7464.6275000000000000,15240.06,12,6,586,1,0,0
360,9,50020.26,5557.8066666666666667,6131.03,9,5,394,0,1,0
361,12,68015.10,5667.9250000000000000,8124.03,12,5,678,0,1,0
362,12,70678.77,5889.8975000000000000,7765.22,12,6,731,0,1,0
363,18,94425.75,5245.8750000000000000,8649.23,16,5,721,0,1,0
364,18,103536.15,5752.0083333333333333,8902.55,18,6,645,1,0,0
365,9,76078.98,8453.2200000000000000,12521.31,8,5,321,0,1,0
366,6,36822.03,6137.0050000000000000,6619.97,6,3,609,0,1,0
367,3,20019.51,6673.1700000000000000,6673.17,3,3,606,1,0,0
368,30,229735.77,7657.8590000000000000,11306.69,28,6,691,0,0,1
369,9,70242.00,7804.6666666666666667,9491.13,9,4,593,0,1,0
370,12,85656.96,7138.0800000000000000,10973.09,12,6,668,1,0,0
371,9,67824.57,7536.0633333333333333,11733.93,9,4,627,0,1,0
372,15,93232.53,6215.5020000000000000,7941.40,15,6,665,1,0,0
373,12,81374.88,6781.2400000000000000,8943.48,12,5,461,1,0,0
374,24,190002.75,7916.7812500000000000,11898.20,24,6,637,0,1,0
375,9,65358.12,7262.0133333333333333,9405.35,9,6,286,0,0,1
376,15,81576.96,5438.4640000000000000,6729.63,15,6,499,1,0,0
377,9,76538.85,8504.3166666666666667,10761.93,9,6,201,1,0,0
378,21,133757.58,6369.4085714285714286,10522.16,21,6,703,1,0,0
379,21,146574.27,6979.7271428571428571,13409.53,21,6,547,0,1,0
380,18,130471.23,7248.4016666666666667,9107.10,17,5,725,1,0,0
381,21,152941.77,7282.9414285714285714,10925.03,21,6,716,1,0,0
382,15,71014.71,4734.3140000000000000,5999.87,15,5,447,1,0,0
383,15,82945.50,5529.7000000000000000,9522.46,14,6,657,0,0,1
384,12,90733.89,7561.1575000000000000,17732.18,12,6,702,1,0,0
385,27,154415.10,5719.0777777777777778,11670.22,26,6,657,0,0,1
386,9,65224.62,7247.1800000000000000,10444.08,9,5,664,0,1,0
